Season,Season Start,Team Name,Position,Goals Scored,Points,PointsPerGame,Yellow Cards,Red Cards,Fouls Conceded Per 90,Offsides Per 90,Fouls Recieved Per 90,Average Attendance,Division
2013/2014,2013,Manchester City,1,102,86,2.26,72,1,10.4,1.6,9.0,47080,1
2013/2014,2013,Liverpool,2,101,84,2.21,54,1,10.8,2.1,10.8,44671,1
2013/2014,2013,Chelsea,3,71,82,2.16,57,3,11.2,2.8,11.8,41482,1
2013/2014,2013,Arsenal,4,68,79,2.08,53,4,9.2,1.9,10.6,60013,1
2013/2014,2013,Everton,5,61,72,1.89,55,1,9.6,2.1,11.7,37732,1
2013/2014,2013,Tottenham,6,55,69,1.82,66,4,10.7,1.7,10.2,35808,1
2013/2014,2013,Manchester United,7,64,64,1.68,66,3,10.6,2.6,11.8,75207,1
2013/2014,2013,Southampton,8,54,56,1.47,60,0,11.7,2.6,9.9,30212,1
2013/2014,2013,Stoke,9,45,50,1.32,72,5,12.8,2.1,9.5,26137,1
2013/2014,2013,Newcastle,10,43,49,1.29,52,6,10.9,2.1,9.2,50395,1
2013/2014,2013,Crystal Palace,11,33,45,1.18,58,2,10.8,1.9,9.7,24114,1
2013/2014,2013,Swansea,12,54,42,1.11,55,3,9.9,2,9.9,20407,1
2013/2014,2013,West Ham,13,40,40,1.05,62,5,10.7,2,9.7,34197,1
2013/2014,2013,Sunderland,14,41,38,1.00,69,7,11.8,1.8,11.9,41090,1
2013/2014,2013,Aston Villa,15,39,38,1.00,78,0,12.9,2.2,9.2,36081,1
2013/2014,2013,Hull,16,38,37,0.97,53,4,11.1,2.3,10.5,24117,1
2013/2014,2013,West Bromwich Albion,17,43,36,0.95,67,0,11.3,2.4,11.4,25194,1
2013/2014,2013,Norwich,18,28,33,0.87,62,2,11.2,1.3,10.3,26805,1
2013/2014,2013,Fulham,19,40,32,0.84,58,1,10.2,2.3,10.2,24977,1
2013/2014,2013,Cardiff,20,32,30,0.79,49,1,9.1,2.1,9.7,27430,1
2014/2015,2014,Chelsea,1,73,87,2.29,73,4,10.1,2,11.4,41546,1
2014/2015,2014,Manchester City,2,83,79,2.08,77,2,11.7,2.1,7.8,45365,1
2014/2015,2014,Arsenal,3,71,75,1.97,68,2,9.9,1.7,11.0,59992,1
2014/2015,2014,Manchester United,4,62,70,1.84,64,5,11.9,2.3,10.4,75335,1
2014/2015,2014,Tottenham,5,58,64,1.68,79,4,11.6,2,10.1,35728,1
2014/2015,2014,Liverpool,6,52,62,1.63,66,3,10.1,2,12.3,44659,1
2014/2015,2014,Southampton,7,54,60,1.58,57,3,12.3,2.4,10.4,30652,1
2014/2015,2014,Swansea,8,46,56,1.47,48,5,10.5,2.1,12.2,20555,1
2014/2015,2014,Stoke,9,48,54,1.42,82,1,12.8,2,10.8,27081,1
2014/2015,2014,Crystal Palace,10,47,48,1.26,63,4,13.9,2,11.4,24421,1
2014/2015,2014,Everton,11,48,47,1.24,66,2,10.3,2.2,11.8,38406,1
2014/2015,2014,West Ham,12,44,47,1.24,64,2,11.1,2.4,11.0,34871,1
2014/2015,2014,West Bromwich Albion,13,38,44,1.16,64,3,11.1,1.7,10.7,25064,1
2014/2015,2014,Leicester,14,46,41,1.08,50,4,12,1.6,9.2,31693,1
2014/2015,2014,Newcastle,15,40,39,1.03,65,7,11.4,1,11.6,50359,1
2014/2015,2014,Sunderland,16,31,38,1.00,94,2,11.6,1.8,11.8,43157,1
2014/2015,2014,Aston Villa,17,31,38,1.00,70,7,10.6,1.9,11.1,34133,1
2014/2015,2014,Hull,18,33,35,0.92,73,6,11.9,1.9,10.6,23557,1
2014/2015,2014,Burnley,19,28,33,0.87,64,2,10.7,1.7,10.5,19131,1
2014/2015,2014,Queens Park Rangers,20,42,30,0.79,75,3,11.8,2.1,10.3,17809,1
2015/2016,2015,Leicester,1,68,81,2.13,48,3,10.7,1.3,9.3,32021,1
2015/2016,2015,Arsenal,2,65,71,1.87,40,4,9.2,2.3,11.4,59944,1
2015/2016,2015,Tottenham,3,69,70,1.84,72,0,11.9,1.9,10.2,35776,1
2015/2016,2015,Manchester City,4,71,66,1.74,61,0,10.8,1.7,10.1,54041,1
2015/2016,2015,Manchester United,5,49,66,1.74,65,1,12.4,2,9.4,75279,1
2015/2016,2015,Southampton,6,59,63,1.66,57,6,11,2.6,9.6,30751,1
2015/2016,2015,West Ham,7,65,62,1.63,58,5,10.1,2.2,11.8,34910,1
2015/2016,2015,Liverpool,8,63,60,1.58,61,3,11.1,2.4,9.9,43910,1
2015/2016,2015,Stoke,9,41,51,1.34,51,4,11,2.7,10.1,27534,1
2015/2016,2015,Chelsea,10,59,50,1.32,58,5,10.6,2.4,12.6,41500,1
2015/2016,2015,Everton,11,59,47,1.24,44,5,8.3,1.4,10.8,38124,1
2015/2016,2015,Swansea,12,42,47,1.24,60,1,10.3,2.2,11.9,20711,1
2015/2016,2015,Watford,13,40,45,1.18,73,3,12.1,1.4,10.2,20594,1
2015/2016,2015,West Bromwich Albion,14,34,43,1.13,65,3,10.3,1.8,10.3,24631,1
2015/2016,2015,Crystal Palace,15,39,42,1.11,60,2,12.4,2.1,11.3,24825,1
2015/2016,2015,Bournemouth,16,45,42,1.11,53,1,9.5,1.7,10.4,11189,1
2015/2016,2015,Sunderland,17,48,39,1.03,64,2,10.6,2.3,10.1,43071,1
2015/2016,2015,Newcastle,18,44,37,0.97,60,5,11,1.6,9.5,49754,1
2015/2016,2015,Norwich,19,39,34,0.89,61,3,11,2.4,8.1,26972,1
2015/2016,2015,Aston Villa,20,27,17,0.45,75,3,11.3,1.1,9.6,33690,1
2016/2017,2016,Chelsea,1,85,93,2.45,72,0,10.4,1.7,12.3,41508,1
2016/2017,2016,Tottenham,2,86,86,2.26,62,0,11.4,1.9,12.0,31639,1
2016/2017,2016,Manchester City,3,80,78,2.05,71,4,10.4,2.3,11.2,54019,1
2016/2017,2016,Liverpool,4,78,76,2.00,54,0,10.4,2,9.9,53016,1
2016/2017,2016,Arsenal,5,77,75,1.97,68,3,10.5,2.5,10.2,59957,1
2016/2017,2016,Manchester United,6,54,69,1.82,78,2,13.1,2.6,11.6,75290,1
2016/2017,2016,Everton,7,62,61,1.61,72,2,12.1,2.2,10.8,39310,1
2016/2017,2016,Southampton,8,41,46,1.21,59,2,11.3,1.9,10.9,30936,1
2016/2017,2016,Bournemouth,9,55,46,1.21,52,3,9.7,1.4,12.6,11182,1
2016/2017,2016,West Bromwich Albion,10,43,45,1.18,80,0,11.8,1.5,8.9,23876,1
2016/2017,2016,West Ham,11,47,45,1.18,78,5,10.7,1.9,12.0,56972,1
2016/2017,2016,Leicester,12,48,44,1.16,72,1,11.9,1.7,8.6,31893,1
2016/2017,2016,Stoke,13,41,44,1.16,70,2,11.4,2.2,11.4,27433,1
2016/2017,2016,Crystal Palace,14,50,41,1.08,77,0,12.4,1.4,12.2,25161,1
2016/2017,2016,Swansea,15,45,41,1.08,56,0,10.6,1.3,11.0,20619,1
2016/2017,2016,Burnley,16,39,40,1.05,65,2,11.3,2.7,10.7,20558,1
2016/2017,2016,Watford,17,40,40,1.05,84,5,13.6,1.6,10.7,20571,1
2016/2017,2016,Hull,18,37,34,0.89,67,5,10.6,1.9,10.0,20761,1
2016/2017,2016,Middlesbrough,19,27,28,0.74,77,1,12.7,1.3,10.3,30449,1
2016/2017,2016,Sunderland,20,29,24,0.63,78,4,11.5,2.1,10.2,41287,1
2017/2018,2017,Manchester City,1,106,100,2.63,59,2,9.1,1.8,9.3,54070,1
2017/2018,2017,Manchester United,2,68,81,2.13,64,1,10.7,2.3,11.1,74976,1
2017/2018,2017,Tottenham,3,74,77,2.03,50,2,10.1,2.3,10.4,68052,1
2017/2018,2017,Liverpool,4,84,75,1.97,44,1,9.1,1.8,8.0,53049,1
2017/2018,2017,Chelsea,5,62,70,1.84,42,4,9.6,2.8,10.7,41282,1
2017/2018,2017,Arsenal,6,74,63,1.66,57,2,10.1,2.3,9.9,59323,1
2017/2018,2017,Burnley,7,36,54,1.42,65,0,9.2,2.6,11.1,20688,1
2017/2018,2017,Everton,8,44,49,1.29,51,3,12.1,2.2,9.6,38797,1
2017/2018,2017,Leicester,9,56,47,1.24,52,5,9.6,2.4,9.4,31636,1
2017/2018,2017,Newcastle,10,39,44,1.16,52,2,10.8,1.7,9.7,51992,1
2017/2018,2017,Crystal Palace,11,45,44,1.16,72,0,11.2,1.5,10.6,25063,1
2017/2018,2017,Bournemouth,12,45,44,1.16,55,1,8.9,1.4,10.8,10641,1
2017/2018,2017,West Ham,13,48,42,1.11,73,2,10,2.6,11.8,56885,1
2017/2018,2017,Watford,14,44,41,1.08,63,4,11.6,1.9,10.0,20231,1
2017/2018,2017,Brighton,15,34,40,1.05,54,2,10.9,2.6,7.3,30403,1
2017/2018,2017,Huddersfield,16,28,37,0.97,62,3,10.4,1.8,9.6,24028,1
2017/2018,2017,Southampton,17,37,36,0.95,63,2,10.9,1.9,9.9,30794,1
2017/2018,2017,Swansea,18,28,33,0.87,51,1,9.9,1,10.5,20623,1
2017/2018,2017,Stoke,19,35,33,0.87,62,1,11.5,2.3,9.9,29280,1
2017/2018,2017,West Bromwich Albion,20,31,31,0.82,73,1,11.6,2.1,9.1,24520,1
2018/2019,2018,Manchester City,1,95,98,2.58,44,1,8.6,2.6,7.9,54130,1
2018/2019,2018,Liverpool,2,89,97,2.55,37,2,8.3,2,9.1,52983,1
2018/2019,2018,Chelsea,3,63,72,1.89,49,0,8.9,2.2,11.2,40437,1
2018/2019,2018,Tottenham,4,67,71,1.87,56,3,9.9,1.9,9.6,54216,1
2018/2019,2018,Arsenal,5,73,70,1.84,72,2,10.8,2.3,12.0,59899,1
2018/2019,2018,Manchester United,6,65,66,1.74,73,4,11.4,2.4,10.4,74498,1
2018/2019,2018,Wolverhampton Wanderers,7,47,57,1.50,72,1,10.8,1.9,8.6,31030,1
2018/2019,2018,Everton,8,54,54,1.42,55,4,11.4,1.8,11.0,39043,1
2018/2019,2018,Leicester,9,51,52,1.37,57,5,9.2,1.9,9.9,31851,1
2018/2019,2018,West Ham,10,52,52,1.37,59,1,8.7,1.9,10.2,58336,1
2018/2019,2018,Watford,11,52,50,1.32,77,4,11.4,2.3,10.1,20016,1
2018/2019,2018,Crystal Palace,12,51,49,1.29,58,2,10.2,2.1,10.3,25455,1
2018/2019,2018,Newcastle,13,42,45,1.18,57,2,11.1,1.6,8.7,51121,1
2018/2019,2018,Bournemouth,14,56,45,1.18,60,1,8.9,1.5,11.6,10532,1
2018/2019,2018,Burnley,15,45,40,1.05,75,1,9.5,2.8,9.4,20534,1
2018/2019,2018,Southampton,16,45,39,1.03,71,3,11.1,1.6,9.0,30139,1
2018/2019,2018,Brighton,17,35,36,0.95,60,4,12.2,2.4,7.9,30426,1
2018/2019,2018,Cardiff,18,34,34,0.89,66,1,9.8,2,10.3,31408,1
2018/2019,2018,Fulham,19,34,26,0.68,68,2,11.1,2.4,9.0,24371,1
2018/2019,2018,Huddersfield,20,22,16,0.42,55,4,11.1,1.7,9.7,23203,1
2019/2020,2019,Liverpool,1,85,99,2.61,38,1,8.7,1.4,7.7,53143,1
2019/2020,2019,Manchester City,2,102,81,2.13,60,4,9.5,1.8,7.8,54219,1
2019/2020,2019,Manchester United,3,66,66,1.74,73,0,11.1,1.5,11.2,73393,1
2019/2020,2019,Chelsea,4,69,66,1.74,60,0,10.2,1.7,10.1,40563,1
2019/2020,2019,Leicester,5,67,62,1.63,41,3,11,1.7,11.7,32061,1
2019/2020,2019,Tottenham,6,61,59,1.55,82,3,11.1,1.7,11.2,59384,1
2019/2020,2019,Wolverhampton Wanderers,7,51,59,1.55,57,2,10.7,1.3,9.5,31360,1
2019/2020,2019,Arsenal,8,56,56,1.47,86,5,11.1,1.9,11.5,60279,1
2019/2020,2019,Sheffield United,9,39,54,1.42,61,2,10.8,2.1,8.1,30869,1
2019/2020,2019,Burnley,10,43,54,1.42,67,0,10.8,2.3,9.7,20260,1
2019/2020,2019,Southampton,11,51,52,1.37,53,4,11.8,1.5,10.2,29675,1
2019/2020,2019,Everton,12,44,49,1.29,70,3,12.4,1.5,10.4,39150,1
2019/2020,2019,Newcastle,13,38,44,1.16,66,3,9.7,2,11.1,48248,1
2019/2020,2019,Crystal Palace,14,31,43,1.13,62,2,11.2,1.4,12.6,25060,1
2019/2020,2019,Brighton,15,39,41,1.08,57,2,10.2,1.9,8.6,30358,1
2019/2020,2019,West Ham,16,49,39,1.03,62,1,10.2,1.7,9.1,59925,1
2019/2020,2019,Aston Villa,17,41,35,0.92,68,1,11.9,1.6,13.8,41661,1
2019/2020,2019,Bournemouth,18,40,34,0.89,74,3,9.7,1.8,10.2,10510,1
2019/2020,2019,Watford,19,36,34,0.89,76,3,12.7,1.8,9.0,20837,1
2019/2020,2019,Norwich,20,26,21,0.55,68,3,9.6,1.3,11.3,27025,1
2020/2021,2020,Manchester City,1,83,86,2.26,46,2,9.3,1.5,9.7,0,1
2020/2021,2020,Manchester United,2,73,74,1.95,64,1,11.9,2,10.5,0,1
2020/2021,2020,Liverpool,3,68,69,1.82,40,0,10.4,1.7,8.3,0,1
2020/2021,2020,Chelsea,4,58,67,1.76,49,3,11.4,2.1,9.6,0,1
2020/2021,2020,Leicester,5,68,66,1.74,61,0,10.9,1.9,11.1,0,1
2020/2021,2020,West Ham,6,62,65,1.71,48,3,9.9,1.9,9.3,0,1
2020/2021,2020,Tottenham,7,68,62,1.63,53,2,11.6,1.2,12.3,0,1
2020/2021,2020,Arsenal,8,55,61,1.61,47,5,9.1,1.6,10.5,0,1
2020/2021,2020,Leeds,9,62,59,1.55,61,1,11.4,2,10.8,0,1
2020/2021,2020,Everton,10,47,59,1.55,59,2,10.2,1.7,10.3,0,1
2020/2021,2020,Aston Villa,11,55,55,1.45,63,4,11.6,1.9,14.6,0,1
2020/2021,2020,Newcastle,12,46,45,1.18,61,3,10.2,1.5,11.1,0,1
2020/2021,2020,Wolverhampton Wanderers,13,36,45,1.18,52,1,11.1,1,9.9,0,1
2020/2021,2020,Crystal Palace,14,41,44,1.16,54,2,10.8,1.8,11.5,0,1
2020/2021,2020,Southampton,15,47,43,1.13,52,3,11.3,2,11.1,0,1
2020/2021,2020,Brighton,16,40,41,1.08,45,6,11.3,1.4,9.4,0,1
2020/2021,2020,Burnley,17,33,39,1.03,48,0,10.1,2.1,10.2,0,1
2020/2021,2020,Fulham,18,27,28,0.74,67,3,12.7,1.1,9.8,0,1
2020/2021,2020,West Bromwich Albion,19,35,26,0.68,51,4,10.6,2,10.8,0,1
2020/2021,2020,Sheffield United,20,20,23,0.61,73,3,12.1,1.9,7.7,0,1
2021/2022,2021,Manchester City,1,99,93,2.45,42,1,8.4,1.7,8.7,52774,1
2021/2022,2021,Liverpool,2,94,92,2.42,50,1,9.6,1.7,7.5,53027,1
2021/2022,2021,Chelsea,3,76,74,1.95,63,1,10.8,1.8,10.3,37810,1
2021/2022,2021,Tottenham,4,69,71,1.87,66,1,10.1,1.6,10.5,56428,1
2021/2022,2021,Arsenal,5,61,69,1.82,60,4,9.6,1.7,9.4,59776,1
2021/2022,2021,Manchester United,6,57,58,1.53,75,2,10.4,2.3,8.4,73150,1
2021/2022,2021,West Ham,7,60,56,1.47,47,3,8.5,1.6,7.3,58894,1
2021/2022,2021,Leicester,8,62,52,1.37,55,1,9.4,1.6,10.4,32061,1
2021/2022,2021,Brighton,9,42,51,1.34,73,2,10.3,1.4,9.3,30988,1
2021/2022,2021,Wolverhampton Wanderers,10,38,51,1.34,59,2,9.6,1.6,8.8,30741,1
2021/2022,2021,Newcastle,11,44,49,1.29,76,1,10.1,1.9,9.6,51487,1
2021/2022,2021,Crystal Palace,12,50,48,1.26,67,1,10.9,1.7,12.7,24282,1
2021/2022,2021,Brentford,13,48,46,1.21,61,3,9.8,1.7,9.6,16912,1
2021/2022,2021,Aston Villa,14,52,45,1.18,79,2,10.6,1.4,13.3,41681,1
2021/2022,2021,Southampton,15,43,40,1.05,63,2,10.6,1.1,9.6,29889,1
2021/2022,2021,Everton,16,43,39,1.03,78,6,9.7,1.4,10.2,38945,1
2021/2022,2021,Leeds,17,42,38,1.00,101,3,12.3,1.7,9.7,36308,1
2021/2022,2021,Burnley,18,34,35,0.92,68,2,10.4,2.7,8.7,19399,1
2021/2022,2021,Watford,19,34,23,0.61,57,3,11.6,1.4,9.3,20614,1
2021/2022,2021,Norwich,20,23,22,0.58,55,1,9.4,1.4,11.3,26836,1
2022/2023,2022,Manchester City,1,94,89,2.34,44,1,9.1,1.3,10.1,53249,1
2022/2023,2022,Arsenal,2,88,84,2.21,52,0,9.8,1.5,11.4,60191,1
2022/2023,2022,Manchester United,3,58,75,1.97,78,2,11.2,2.1,7.8,73671,1
2022/2023,2022,Newcastle,4,68,71,1.87,62,1,10.7,1.9,10.5,52127,1
2022/2023,2022,Liverpool,5,75,67,1.76,57,1,10.7,2.2,8.4,53183,1
2022/2023,2022,Brighton,6,72,62,1.63,59,0,11.2,1.8,10.7,31477,1
2022/2023,2022,Aston Villa,7,51,61,1.61,80,1,11,1.5,13.1,41707,1
2022/2023,2022,Tottenham,8,70,60,1.58,75,3,11.2,1.8,9.3,61585,1
2022/2023,2022,Brentford,9,58,59,1.55,55,1,9.3,1.9,10.5,17078,1
2022/2023,2022,Fulham,10,55,52,1.37,80,1,10.8,1.6,10.7,23746,1
2022/2023,2022,Crystal Palace,11,40,45,1.18,79,3,11.7,1.5,12.6,25209,1
2022/2023,2022,Chelsea,12,38,44,1.16,77,3,10.4,1.9,12.2,40002,1
2022/2023,2022,Wolverhampton Wanderers,13,31,41,1.08,84,6,12.2,1.6,10.2,31345,1
2022/2023,2022,West Ham,14,42,40,1.05,44,0,9.5,1.6,8.3,62462,1
2022/2023,2022,Bournemouth,15,37,39,1.03,69,0,10.3,1,9.6,10362,1
2022/2023,2022,Nottingham Forest,16,38,38,1.00,84,0,11.7,1.8,10.3,29188,1
2022/2023,2022,Everton,17,34,36,0.95,79,2,10.4,1.7,10.1,39241,1
2022/2023,2022,Leicester,18,51,34,0.89,59,2,10.8,2.2,10.4,31887,1
2022/2023,2022,Leeds,19,48,31,0.82,84,3,12.3,1.6,10.7,36566,1
2022/2023,2022,Southampton,20,36,25,0.66,73,0,11.3,1.5,9.9,30440,1
2023/2024,2023,Manchester City,1,96,91,2.39,52,2,7.6,1.1,10.8,53075,1
2023/2024,2023,Arsenal,2,91,89,2.34,62,2,10.3,2.3,10.4,60236,1
2023/2024,2023,Liverpool,3,86,82,2.16,65,5,12.2,2.6,9.9,55989,1
2023/2024,2023,Aston Villa,4,76,68,1.79,94,2,10.8,1.2,12.4,41858,1
2023/2024,2023,Tottenham,5,74,66,1.74,89,4,11.2,2.2,13.4,61459,1
2023/2024,2023,Chelsea,6,77,63,1.66,105,4,11.7,2.2,11.9,39576,1
2023/2024,2023,Newcastle,7,85,60,1.58,77,1,10.2,1.6,12.3,52150,1
2023/2024,2023,Manchester United,8,57,60,1.58,81,1,10.6,2.4,8.9,73534,1
2023/2024,2023,West Ham,9,60,52,1.37,76,3,10.3,1.9,10.3,62464,1
2023/2024,2023,Crystal Palace,10,57,49,1.29,69,2,12,1.9,11.2,24932,1
2023/2024,2023,Brighton,11,55,48,1.26,91,3,10.9,2.2,11.9,31586,1
2023/2024,2023,Bournemouth,12,54,48,1.26,79,3,13.3,1.5,9.9,11103,1
2023/2024,2023,Fulham,13,55,47,1.24,78,4,10.1,1.3,9.6,24301,1
2023/2024,2023,Wolverhampton Wanderers,14,50,46,1.21,100,4,12.5,2.1,10.7,31029,1
2023/2024,2023,Everton,15,40,40,1.05,80,1,12,2.3,9.5,39042,1
2023/2024,2023,Brentford,16,56,39,1.03,89,2,10.1,1.8,11.0,17082,1
2023/2024,2023,Nottingham Forest,17,49,32,0.84,78,3,11.3,2,9.8,29386,1
2023/2024,2023,Luton,18,52,26,0.68,71,0,11.7,1.8,11.8,11244,1
2023/2024,2023,Burnley,19,41,24,0.63,71,7,11.3,2,9.3,21184,1
2023/2024,2023,Sheffield United,20,35,16,0.42,95,5,11.1,1.7,8.4,30011,1
2013/2014,2013,Leicester,1,83,102,2.68,52,2,10.8,1.9,9.0,24995,2
2013/2014,2013,Burnley,2,72,93,2.45,49,2,10.2,2.4,10.3,13719,2
2013/2014,2013,Derby,3,84,85,2.24,72,2,12,1.4,14.0,24933,2
2013/2014,2013,Queens Park Rangers,4,60,80,2.11,61,4,11.3,2.5,11.3,16656,2
2013/2014,2013,Wigan,5,61,73,1.92,75,2,11.7,2.5,11.9,15177,2
2013/2014,2013,Brighton,6,55,72,1.89,75,2,12.5,2.6,11.2,27283,2
2013/2014,2013,Reading,7,70,71,1.87,72,6,11.5,1.9,12.8,19171,2
2013/2014,2013,Blackburn,8,70,70,1.84,73,4,11,1.5,11.4,14962,2
2013/2014,2013,Ipswich,9,60,68,1.79,54,1,11,2.2,10.4,17111,2
2013/2014,2013,Bournemouth,10,67,66,1.74,66,4,9.6,2.5,11.2,9952,2
2013/2014,2013,Nottingham Forest,11,67,65,1.71,89,4,13.1,3.4,9.7,22630,2
2013/2014,2013,Middlesbrough,12,62,64,1.68,75,8,10.5,1.8,8.7,15748,2
2013/2014,2013,Watford,13,74,60,1.58,89,5,11.3,2.2,8.8,15512,2
2013/2014,2013,Bolton,14,59,59,1.55,70,2,10.5,2,9.6,16141,2
2013/2014,2013,Leeds,15,59,57,1.50,70,2,11.8,2.2,10.3,25088,2
2013/2014,2013,Sheffield Wednesday,16,63,53,1.39,91,5,12.5,2.4,11.3,21239,2
2013/2014,2013,Huddersfield,17,58,53,1.39,69,4,11.6,1.9,10.8,14213,2
2013/2014,2013,Charlton,18,41,51,1.34,58,4,10.4,1.9,10.4,16134,2
2013/2014,2013,Millwall,19,46,48,1.26,83,6,12,2.3,10.8,11063,2
2013/2014,2013,Blackpool,20,38,46,1.21,79,10,12.7,2.4,10.9,14217,2
